,Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Current Identification,Other Identifications,Name Hierarchy,Order,Family,Type Status,Type Citations,Common Name (Name : Language),Date Collected,Ocean,Sea/Gulf,Country,Island,Province/State,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition,Collector(s),Field Number(s),Sex/Stage,Preparation Details (Preparation:Remarks),Measurements,Notes,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
0,201817,Specimen/Lot,,1,Accipiter soloensis,,Accipiter soloensis : Accipitridae : Falconiformes : Aves : Chordata,Falconiformes,Accipitridae,,,Gray Frog-Hawk,7 Nov 1906,,,Philippines,Mindanao,,,,,,,"Mearns, E. A.",14459,Female/Immature,Skin: Whole,,,,,,,,,,,13 Aug 2014 18:58:00,http://n2t.net/ark:/65665/3b57a806e-f0b1-49e2-ae3b-0a3b3fa30998
1,192108,Specimen/Lot,,1,Accipiter virgatus,,Accipiter virgatus : Accipitridae : Falconiformes : Aves : Chordata,Falconiformes,Accipitridae,,,,1 Jul 1904,,,Philippines,Mindanao,,,,,,,"Mearns, E. A.",13521; 13621,Female/Immature,Skin: Whole,,,,,,,,,,,13 Aug 2014 18:58:00,http://n2t.net/ark:/65665/3992718b3-175a-4dfd-87c7-3515c9971a56
2,288068,Specimen/Lot,,1,Aceros leucocephalus,,Aceros leucocephalus : Bucerotidae : Coraciiformes : Aves : Chordata,Coraciiformes,Bucerotidae,,,,10 Aug 1903,,,Philippines,Mindanao,Lanao Region,Pantor,,,,,"Mearns, E. A.",12868,unknown,Skeleton: Partial:skull,,,,,,,,,,,13 Aug 2014 17:29:00,http://n2t.net/ark:/65665/3d4df40c9-dfdc-45ba-92ca-82241d3664d3
3,190665,Specimen/Lot,,1,Aceros leucocephalus,,Aceros leucocephalus : Bucerotidae : Coraciiformes : Aves : Chordata,Coraciiformes,Bucerotidae,,,,11 Aug 1903,,,Philippines,Mindanao,Lanao Region,Pantar,,,,,"Mearns, E. A.",12871,Male/Adult,Skin: Whole,,,,,,,,,,,15 Aug 2014 16:09:00,http://n2t.net/ark:/65665/3690f7116-4ca9-44fe-b7ac-147b101ca7c9
4,190666,Specimen/Lot,,1,Aceros leucocephalus,,Aceros leucocephalus : Bucerotidae : Coraciiformes : Aves : Chordata,Coraciiformes,Bucerotidae,,,,11 Aug 1903,,,Philippines,Mindanao,Lanao Region,Pantar,,,,,"Mearns, E. A.",12870,Male/Adult,Skin: Whole,,,,,,,,,,,15 Aug 2014 16:09:00,http://n2t.net/ark:/65665/32812aed9-ee6f-4ff1-919a-8021c44f5201
5,190667,Specimen/Lot,,1,Aceros leucocephalus,,Aceros leucocephalus : Bucerotidae : Coraciiformes : Aves : Chordata,Coraciiformes,Bucerotidae,,,,1 Sep 1903,,,Philippines,Mindanao,Lanao Region,Pantar,,,,,"Mearns, E. A.",12967,Female/Adult,Skin: Whole,,,,,,,,,,,15 Aug 2014 16:09:00,http://n2t.net/ark:/65665/3f5a50ebb-8ee2-42f7-a47b-e739856d7278
6,192123,Specimen/Lot,,1,Aceros leucocephalus,,Aceros leucocephalus : Bucerotidae : Coraciiformes : Aves : Chordata,Coraciiformes,Bucerotidae,,,,26 Jun 1904,,,Philippines,Mindanao,Davao del Sur,"Mount Apo, Todaya",,,,,"Mearns, E. A.",13595,Male/Adult,Skin: Whole,,,,,,,,,,,15 Aug 2014 16:09:00,http://n2t.net/ark:/65665/390eb0881-10bb-41de-8ad1-1ad7e12260ce
7,200925,Specimen/Lot,,1,Aceros leucocephalus,,Aceros leucocephalus : Bucerotidae : Coraciiformes : Aves : Chordata,Coraciiformes,Bucerotidae,,,,12 May 1906,,,Philippines,Mindanao,,Ceatagan,,,335,,"Mearns, E. A.",14280,Male/Adult,Skin: Whole,,,,,,,,,,,15 Aug 2014 16:09:00,http://n2t.net/ark:/65665/3c287f81a-604e-47ad-b627-928c283e6ec1
8,202464,Specimen/Lot,,1,Acrocephalus orientalis,Acrocephalus arundinaceus,Acrocephalus orientalis : Sylviidae : Passeriformes : Aves : Chordata,Passeriformes,Sylviidae,,,,12 Oct 1906,,,Philippines,Sulu Archipelago,Sulu Province,"Siasi Island, Siasi",,,,,"Mearns, E. A.",14403,Male,Skin: Whole,,,,,,,,,,,28 Jul 2017 16:07:00,http://n2t.net/ark:/65665/3086664ca-7018-46d4-934e-a8f278ffcfd5
9,191492,Specimen/Lot,,1,Acrocephalus orientalis,Acrocephalus arundinaceus,Acrocephalus orientalis : Sylviidae : Passeriformes : Aves : Chordata,Passeriformes,Sylviidae,,,,4 Jan 1904,,,Philippines,Mindanao,Zamboanga Del Sur,Zamboanga,,,,,"Mearns, E. A.",13217,Male/Adult,Skin: Whole,,,,,,,,,,,28 Jul 2017 16:07:00,http://n2t.net/ark:/65665/38620f683-7cc0-4d0b-9d87-409597b0c7b6
