,Province/State,# of objects
0,Zamboanga del Sur,211
1,Sulu,70
2,Davao del Sur,20
3,La Union,18
4,Lanao del Sur,16
5,Davao Oriental,14
6,Rizal,12
7,Northern Samar,12
8,Bohol,12
9,Zamboanga del Norte,10
10,Batanes,9
11,Misamis Oriental,8
12,South Cotabato,7
13,Palawan,7
14,Cavite,7
15,Cebu,7
16,Mindoro Oriental,5
17,Bataan,5
18,Benguet,4
19,Surigao del Norte,3
20,Misamis Occidental,3
21,Aurora,2
22,Cotabato,2
23,Western Samar,2
24,Cagayan,1
25,Ilocos Norte,1
26,Leyte,1
27,Lanao del Norte,1
28,Eastern Samar,1
