Museum,Catalog Number - USNM,Special Collections,Class,Order,Family,Genus species,Other Identifications,Name Hierarchy,Type Status,Type Citations,Taxonomic Notes,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition/Project,Field Number(s),Date Collected,Preparation Details (Preparation:Remarks),Inventory Status,Status Remarks,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"NMNH","34794","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","Davao Del Sur","Mount Apo, Todaya","","",1067,"","No Field Number","1 Jul 1904","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3806e3618-2f47-4a79-b2fc-ccd3a78b9fc7"
"NMNH","34800","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","Davao Del Sur","Mount Apo, Todaya","","",1067,"","No Field Number","1 Jul 1904","Ethanol","In collection","","","","","","","","","18 Dec 2018 16:34:00","http://n2t.net/ark:/65665/35ea4fe2e-9d99-490b-bed1-671f71837cd7"
"NMNH","34827","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/349c4c259-4172-47fb-9fda-4a97b0c37e21"
"NMNH","34840","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3c4e7b927-3ccf-4c5d-b225-d909b3f96b39"
"NMNH","34852","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/395ba3b4d-da3f-4a49-b268-efe73f755a69"
"NMNH","34854","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/31cf87df2-4eea-4c6d-9280-237652cf116b"
"NMNH","34857","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3b3c93ac5-03ba-408c-a99a-f73eb03713ee"
"NMNH","34859","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/32d057dfd-7f33-4356-9e22-26bc52f1a1cb"
"NMNH","34861","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3aafc509e-0d3e-4c0d-a8d8-b73f48ad4f32"
"NMNH","34874","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/36ca2adcd-51ce-46e9-84fd-a054b8d70611"
