Barcode,Catalog Number,Catalog,Special Collections,Division,Order,Family,Subfamily,Tribe,Taxonomic Name (Filed As : Identified By : Identification Date),Other Taxonomic Names (Identification : Identified By : Date Identified),Name Hierarchy,Common Name (Name : Language),Type Citations (Scientific Name : Type Status : Verification Degree : Citation),Lectotypified By,Taxonomy Remarks,Collection Remarks,Collector(s),Collection Number,Date Collected,Biogeographic Region,Archipelago,Country,Province/State,District/County,Precise Locality,Island Name,Centroid Latitude,Centroid Longitude,Elevation (m),Conservation Status (Authority : Status),Habit,Microhabitat Description,Other Counts (Type : Value),Other Numbers (Type : Value),Cultivated,Recent/Fossil,Notes,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Field Id Number,Preservation Method,Embargo?,Depleted?,Storage Location,Record Last Modified,EZID
"02334226","1238335","Flowering plants and ferns","","","Rosales","Fabaceae","Faboideae","Abreae","Abrus precatorius L.","","3856 : Abrus precatorius L. : Fabaceae : Rosales : Dicotyledonae","culalis; guma gumar : I.; kasis; Keekeeinau; Keekeeinau; kolales aniti; Lele; Lias lisa; Miti Rapa; Moho; nikamoer; Poniu; totus; Uiui; Uiui; cashew; rosary pea; white lead tree; Cain ghe.; Quinget.; Peonia.; Jumbie; Jumbie Bead; Pois rouge.; pomea mataila","",,"","","Mearns, E. A.","s.n.","4 Jan 1906","42 - Malesia","","Philippines","Muslim Mindanao","","Dammi Island, Sulu Group","","","","",,"","",,,"","",,"","","","","","","","","","02 Nov 2017 17:30:00","http://n2t.net/ark:/65665/3e775ac70-cb19-4da9-9b15-a2d4dc148de8"
"02334225","1238334","Flowering plants and ferns","","","Rosales","Fabaceae","Faboideae","Abreae","Abrus precatorius L.","","3856 : Abrus precatorius L. : Fabaceae : Rosales : Dicotyledonae","culalis; guma gumar : I.; kasis; Keekeeinau; Keekeeinau; kolales aniti; Lele; Lias lisa; Miti Rapa; Moho; nikamoer; Poniu; totus; Uiui; Uiui; cashew; rosary pea; white lead tree; Cain ghe.; Quinget.; Peonia.; Jumbie; Jumbie Bead; Pois rouge.; pomea mataila","",,"","","Mearns, E. A.","s.n.","10 Jan 1906","42 - Malesia","","Philippines","","","East Bolod Island","","","","",,"","",,,"","",,"","","","","","","","","","02 Nov 2017 18:48:00","http://n2t.net/ark:/65665/341bc2fcf-ad9d-450a-ac9a-c77ca0bf8102"
"01218208","447389","Flowering plants and ferns","","","Malvales","Malvaceae","","","Abutilon indicum (L.) Sweet","","4983 : Abutilon indicum (L.) Sweet : Malvaceae : Malvales : Dicotyledonae","Anoda : Sinhala; madbas; Panagedi : Sinhala; Wal anoda; Mauve poilue : French","",,"","","Mearns, E. A.","1","21 Jan 1904","42 - Malesia","","Philippines","Mindanao","Zamboanga","","","","","",,"","",,,"","",,"","","","","","","","","","06 Sep 2018 13:40:00","http://n2t.net/ark:/65665/39dff25bf-0889-415a-83cf-5a3178e77c3b"
"01295521","625731","Flowering plants and ferns","","","Euphorbiales","Euphorbiaceae","","","Acalypha angatensis Blanco","","4407 : Acalypha angatensis Blanco : Euphorbiaceae : Euphorbiales : Dicotyledonae","","",,"","","Mearns, E. A.","2525","Apr 1907","42 - Malesia","","Philippines","Benguet","","Baguio, Luzon.","","","","",,"","",,,"","",,"","","","","","","","","","08 Sep 2016 17:15:00","http://n2t.net/ark:/65665/3effec46d-cb84-4472-bf06-54386c840917"
"01295638","447394","Flowering plants and ferns","","","Euphorbiales","Euphorbiaceae","","","Acalypha indica L.","","4407 : Acalypha indica L. : Euphorbiaceae : Euphorbiales : Dicotyledonae","mumutong umai; Hierba del cancer","",,"","","Mearns, E. A.","6","21 Jan 1904","42 - Malesia","","Philippines","Mindanao","","Zamboanga.","","","","",,"","",,,"","",,"","","","","","","","","","08 Sep 2016 17:15:00","http://n2t.net/ark:/65665/3027ba979-1ec8-4452-a985-23995a46ea18"
"02864957","447608","Flowering plants and ferns","","","Scrophulariales","Acanthaceae","","","Acanthus ebracteatus Vahl","","7981 : Acanthus ebracteatus Vahl : Acanthaceae : Scrophulariales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","20 Apr 1904","42 - Malesia","","Philippines","","","Surigao; Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","24 Sep 2018 13:33:00","http://n2t.net/ark:/65665/3d22bc530-9825-4916-b9c5-8c5a8296448b"
"02864966","1238340","Flowering plants and ferns","","","Scrophulariales","Acanthaceae","","","Acanthus ebracteatus Vahl","","7981 : Acanthus ebracteatus Vahl : Acanthaceae : Scrophulariales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","4 Jan 1906","42 - Malesia","","Philippines","Muslim Mindanao","","Dammi Island, Sulu group.","","","","",,"","",,,"","",,"","","","","","","","","","17 Sep 2018 18:32:00","http://n2t.net/ark:/65665/38c4667c6-a976-4b72-9c71-c7848c6d9ca9"
"03544374","447493","Flowering plants and ferns","","","Caryophyllales","Amaranthaceae","","","Achyranthes aspera L.","","2328 : Achyranthes aspera L. : Amaranthaceae : Caryophyllales : Dicotyledonae","Pija de gata; tamatama; gogo; gogol; lau tama tama; suga-dugodok; kaleklek; piri piri; likauka; Kaau; nikoke; louch belulu; Taferi Moh; tikengtutui; hoho; liko, ligo; huhu; eeg'gohur; osenlikendinkep : Pohnpeian","",,"","","Mearns, E. A.","134","25 Jan 1904","42 - Malesia","","Philippines","","","Zamboanga, Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","12 Oct 2019 06:43:00","http://n2t.net/ark:/65665/3b26bc523-ba9b-47cd-a089-46fa6f18425c"
"01775904","625865","Flowering plants and ferns","","","Asterales","Asteraceae","Asteroideae","Heliantheae","Acmella grandiflora var. grandiflora","","9207 A : Acmella grandiflora var. grandiflora : Asteraceae : Asterales : Dicotyledonae","","",,"","","Mearns, E. A.","Bur.of Sci.4537","2 Aug 1907","42 - Malesia","","Philippines","","","Benguet Prov., Luzon","","","",2134,,"","",,,"","",,"","","","","","","","","","04 Aug 2017 13:46:00","http://n2t.net/ark:/65665/33e27f85e-bee2-4de2-a403-7472339bfc8f"
"03059165","628688","Flowering plants and ferns","","","Myrtales","Myrtaceae","","","Acmena acuminatissima (Blume) Merr. & L.M. Perry","","5583 A : Acmena acuminatissima (Blume) Merr. & L.M. Perry : Myrtaceae : Myrtales : Dicotyledonae","","",,"","","Mearns, E. A.; Hutchinson, W. I.","Forestry Bureau 4771","1 May 1906","42 - Malesia","","Philippines","","","Mt. Malindang. Prov. of Misams. Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","10 Jan 2019 14:51:00","http://n2t.net/ark:/65665/35c491f5c-7b0d-49ba-b93d-e0298a6efd84"
"02081500","447586","Flowering plants and ferns","","","Cyperales","Cyperaceae","","","Actinoscirpus grossus (L. f.) Goetgh. & D.A. Simpson var. grossus : Strong, M. T., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES) : 2020","Schoenoplectus grossus (L. f.) Palla","0468 * : Actinoscirpus grossus (L. f.) Goetgh. & D.A. Simpson var. grossus : Cyperaceae : Cyperales : Monocotyledonae","Basijang; iboes; iboes bolon","",,"","","Mearns, E. A.","s.n.","3 Mar 1904","42 - Malesia","","Philippines","","","Philippine Islands. Cottobato: Mindanao","","","","",,"","",,,"","",,"","","","","","","","","","20 Jan 2020 17:35:00","http://n2t.net/ark:/65665/31b847718-ec79-4ffa-8b46-2dbd8b1efeb9"
"01488965","628500","Flowering plants and ferns","","","Polypodiales","Pteridaceae","","","Adiantum capillus-veneris L.","","F118 : Adiantum capillus-veneris L. : Pteridaceae : Polypodiales : Pteridophyte","common maidenhair","",,"","","Mearns, E. A.","65","10 Dec 1905","42 - Malesia","","Philippines","","","The Phippine Islands, Luzon, Mt. Santo Tomas [interpreted]","","","",2103,,"","",,,"","",,"","","","","","","","","","01 Nov 2016 00:21:00","http://n2t.net/ark:/65665/39bb062e3-9e31-4c90-9fe4-4e48dcbf70cb"
"00113947","708891","Flowering plants and ferns","Type Register","","Theales","Pentaphylacaceae","","","Adinandra montana Merr.","","5156 : Adinandra montana Merr. : Pentaphylacaceae : Theales : Dicotyledonae","","Adinandra montana Merr. : Isotype, Merrill, E. D. 1910. Philipp. J. Sci., C. 5: 363., Original publication and alleged type specimen examined",,"","","Mearns, E. A.; Hutchinson, W. I.","4558","May 1908","42 - Malesia","","Philippines","Misamis Occidental","","Mt. Malanding.","Mindanao","","","",,"","",,"fiche number : 0552/B08","","",,"","","","","","","","","","29 Aug 2016 19:21:00","http://n2t.net/ark:/65665/351200756-9725-4137-b44b-b1b05ee09e87"
"00077925","708938","Flowering plants and ferns","","","Scrophulariales","Gesneriaceae","","","Agalmyla chorisepala (C.B. Clarke) Hilliard & B.L. Burtt : Skog, L. E. : 2002","","7826 : Agalmyla chorisepala (C.B. Clarke) Hilliard & B.L. Burtt : Gesneriaceae : Scrophulariales : Dicotyledonae","","",,"","","Mearns, E. A.; Hutchinson, W. I.","4740","May 1906","","","Philippines","","","Mt. Malindang, Prov. of Misamis","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","31 Oct 2017 16:13:00","http://n2t.net/ark:/65665/30c131fd9-abb8-4d06-bf03-99fad6d49daf"
"00077934","447647","Flowering plants and ferns","","","Scrophulariales","Gesneriaceae","","","Agalmyla glabra (Copel. ex Merr.) Hilliard & B.L. Burtt : Skog, L. E. : 2002","Dichrotrichum glabrum Copel. ex Merr.","7826 : Agalmyla glabra (Copel. ex Merr.) Hilliard & B.L. Burtt : Gesneriaceae : Scrophulariales : Dicotyledonae","","",,"","","Mearns, E. A.","s.n.","26 Jun 1904","","","Philippines","","","Mt. Apo","Mindanao","","",1829,,"","",,,"","",,"","","","","","","","","","31 Oct 2017 15:29:00","http://n2t.net/ark:/65665/336fe9f71-7913-42c1-a2cc-8d4b737cb655"
"02063113","447709","Flowering plants and ferns","","","Coniferales","Pinaceae","","","Agathis philippinensis","","0020 : Agathis philippinensis : Pinaceae : Coniferales : Gymnospermae","","",,"","","Mearns, E. A.","s.n.","10 Jul 1904","42 - Malesia","","Philippines","","","Mt. Apo, Mindanao.","","","",1829,,"","",,,"","",,"","","","","","","","","","19 Dec 2017 16:01:00","http://n2t.net/ark:/65665/3f442196b-ec97-466f-a075-ca6883ae6ed1"
"02063116","447711","Flowering plants and ferns","","","Coniferales","Pinaceae","","","Agathis philippinensis","","0020 : Agathis philippinensis : Pinaceae : Coniferales : Gymnospermae","","",,"","","Mearns, E. A.","s.n.","10 Jul 1904","42 - Malesia","","Philippines","","","Day-noir","","","",1829,,"","",,,"","",,"","","","","","","","","","19 Dec 2017 16:01:00","http://n2t.net/ark:/65665/33033e0fc-af80-48ef-8cd2-b6b35da8d3f1"
"02063104","628685","Flowering plants and ferns","","","Coniferales","Pinaceae","","","Agathis rumphii (C. Presl)","","0020 : Agathis rumphii (C. Presl) : Pinaceae : Coniferales : Gymnospermae","","",,"","","Mearns, E. A.; Hutchinson, W. J.","Forestry Bureau 4668","May 1906","42 - Malesia","","Philippines","","","Mount Malindang, Prov. of Misamis [interpreted], Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","19 Dec 2017 15:58:00","http://n2t.net/ark:/65665/3e672170f-aabe-4a20-bba2-cfba3348343d"
"00345092","706260","Flowering plants and ferns","Type Register","","Sapindales","Meliaceae","","","Aglaia luzoniensis var. trifoliata Merr. & Rolfe","Aglaia odortissima Blume : Pannell, C. M. : 1988","4189 : Aglaia luzoniensis var. trifoliata Merr. & Rolfe : Meliaceae : Sapindales : Dicotyledonae","","Aglaia luzoniensis var. trifoliata Merr. & Rolfe : Lectotype, Pannell, C. M. 1992. Kew Bull. Add. Ser. 16: 238., ","Pannell, C. M. 1992. Kew Bull. Add. Ser. 16: 238.","","","Mearns, E. A.; Hutchinson, W. I.","4724","May 1906","42 - Malesia","","Philippines","Misamis Occidental","","Mount Malindang.","Mindanao","","","",,"","",,"fiche number : 0455/D10","","",,"","","","","","","","","","29 Aug 2016 19:32:00","http://n2t.net/ark:/65665/3d0d57d7f-9651-438c-b999-25e700fd035b"
"00093497","1238258","Flowering plants and ferns","Type Register","","Orchidales","Orchidaceae","","","Agrostophyllum malindangense Ames","","1590 : Agrostophyllum malindangense Ames : Orchidaceae : Orchidales : Monocotyledonae","","Agrostophyllum malindangense Ames : Isotype, Ames, O. 1911. Philipp. J. Sci. 6: 50., Original publication and alleged type specimen examined",,"","","Mearns, E. A.; Hutchinson, W. I.","For. Bur. 4610","25 May 1906","42 - Malesia","","Philippines","Misamis Occidental","","","Mindanao","","","",,"","",,"fiche number : 0151/B09","","",,"","","","","","","","","","27 Apr 2017 18:00:00","http://n2t.net/ark:/65665/33570af83-48dd-4fa5-9b2e-fe55decd3d0d"
"00363147","712229","Flowering plants and ferns","","","Orchidales","Orchidaceae","","","Agrostophyllum malindangense Ames","","1590 : Agrostophyllum malindangense Ames : Orchidaceae : Orchidales : Monocotyledonae","","",,"","","Mearns, E. A.; Hutchinson, W. I.","4610","May 1906","42 - Malesia","","Philippines","Misamis Occidental / Misamis Oriental","","","Mindanao","","","",,"","",,,"","",,"","","","","","","","","","27 Apr 2017 18:08:00","http://n2t.net/ark:/65665/351c90805-bdc0-4897-b574-11e9e6c7403e"
