Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"57958","Specimen/Lot","",1,"Abudefduf lorenzi Hensley & Allen","","Abudefduf lorenzi Hensley & Allen : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/30593f114-6f93-4682-994a-b110cd3ca257"
"57980","Specimen/Lot","",3,"Abudefduf saxatilis","","Abudefduf saxatilis : Pomacentridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Pomacentridae","",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","","Dry Osteological Specimen::1",,"Pharyngeal bone preserved separately","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/36fe06f37-4961-46a9-831b-094977c07584"
"57917","Specimen/Lot","",3,"Acanthurus","","Acanthurus : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3b8a33914-58bf-4d7d-bfd1-e824934e9bd7"
"57951","Specimen/Lot","",6,"Acanthurus","","Acanthurus : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/301395455-7a20-476f-a8e9-1d0eb171d778"
"55626","Specimen/Lot","",1,"Acanthurus","","Acanthurus : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","","1904 (1904 00 00 - 0000 00 00)","Pacific","","","","Mindanao","","Philippines","","","Phiippine Islands: Zamboanga, Mindanao","","","Mearns, E. A.","","","","","","","","","",,,"","","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3667f1794-5fcf-4290-8118-fe3a8b50ee15"
"57998","Specimen/Lot","",1,"Acanthurus mata","","Acanthurus mata : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",":Tank 06:1",,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/359a461ac-b2c2-4424-9b9f-a2b462876b20"
"55630","Specimen/Lot","",1,"Acanthurus xanthopterus","","Acanthurus xanthopterus : Acanthuridae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Acanthuridae","",,"Pacific","","","","","","Philippines","","","Jolo, P.I.","","","Mearns, E. A.","","","","","","","","","",,,"","","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/31c5cc5f7-d1fd-4fdf-b3d5-363edac9362e"
"58005","Specimen/Lot","",1,"Alectis indica","","Alectis indica : Carangidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Carangidae","",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/35b004cb7-6987-4e0d-b0d1-b679cd230df6"
"57995","Specimen/Lot","",4,"Anguilla marmorata","","Anguilla marmorata : Anguillidae : Anguilliformes : Actinopterygii : Chordata","","","Anguilliformes","Anguillidae","",,"","","","","Mindanao","Asia","Philippines","Zamboanga del Sur","","Zamboanga, P. I.","","","Mearns, E. A.","","Tin Tag : 937; Tin Tag : 938; Tin Tag : 939; Tin Tag : 980","","","","","","","",,,"TT 937, 938, 939, 980","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/31e7edf2b-a97d-4c37-8d49-414a4fe40eb2"
"57964","Specimen/Lot","",1,"Apogon","","Apogon : Apogonidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Apogonidae","Apogoninae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","","Radiograph::1",,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/390c11ef6-d006-4daa-b2a7-32adc07f53d7"
