Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 805168","Specimen/Lot","","Onchidiidae","Mollusca","Gastropoda","","","","Onchidiidae : : Gastropoda : Mollusca","","","","","Animalia, Mollusca, Gastropoda, Onchidiidae","Land Snail","",21,"","","","Mearns, E. A.","","","North Pacific Ocean","","","Philippines","","","","","","","","","","","","","","","","","","","","","","","","","","","","16 Jan 2013 16:11:00","http://n2t.net/ark:/65665/362a27f3a-d180-4828-bd2e-64b4597a2e51"
"USNM 805245","Specimen/Lot","","","Mollusca","","","","","Mollusca","","","","","Animalia, Mollusca","Mollusks","",1,"","","","Mearns, E. A.","","","","","","Philippines","Mindoro Oriental","","","Mindoro Island, Mount Halcon","","",2438,"","","","","","","","","","","","","","","","","","","","","17 Jun 2016 17:41:00","http://n2t.net/ark:/65665/32854e199-167d-456c-8df3-96d55bd95ee0"
"USNM 1494680","Specimen/Lot","","","Arthropoda","Malacostraca","Decapoda","","","Decapoda : Malacostraca : Arthropoda","","","","","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata","True Crabs","",6,"","","","Mearns, E. A.","May 1907","","","","","Philippines","","","","Camp Wallace, Union, Luzon",16.5,120.417,"","","","","","","","","","","","","","47782","","","","","","","","25 Jul 2019 18:29:00","http://n2t.net/ark:/65665/3bdcfad80-0711-4ad2-9959-1c4ddf2c0cb3"
"USNM 1494705","Specimen/Lot","","","Arthropoda","Malacostraca","Decapoda","","","Decapoda : Malacostraca : Arthropoda","","","","","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata","True Crabs","",1,"","","","Mearns, E. A.","Jul 1907","","","","","Philippines","","","","Haights-su-the-oaks, Benquet Province, Luzon",16,121,2134,"","","","","","","","","","","","","47782","","","","","","","","25 Jul 2019 18:29:00","http://n2t.net/ark:/65665/30feebb93-aed1-4dbd-bfe8-7aca17d0626d"
"USNM 257186","Specimen/Lot","","Cyclophoridae","Mollusca","Gastropoda","","","","Cyclophoridae : : Gastropoda : Mollusca","","","","","Animalia, Mollusca, Gastropoda, Cyclophoridae","Gastropods","",5,"","","","Mearns, E. A.","","","North Pacific Ocean","","","Philippines","","","","Mindanao, trail between Simpitan and Buluan","","","","","","","","","","","","","","","","","","","","","","","","12 Jul 2019 17:33:00","http://n2t.net/ark:/65665/3f899f812-ffc9-48f4-b9fd-729e615309ad"
"USNM 38753","Specimen/Lot","Acanthaster planci (Linnaeus, 1758)","Acanthasteridae","Echinodermata","Asteroidea","Valvatida","Clark, Austin Hobart","","Acanthaster planci (Linnaeus, 1758) : Acanthasteridae : Valvatida : Asteroidea : Echinodermata","","","","","Animalia, Echinodermata, Asteroidea, Valvatida, Acanthasteridae","Asteroids","",1,"","","","Mearns, E. A.","","","North Pacific Ocean","","","Philippines","","","","","","","","","","","","","","","","","","","","046985","","","","","","","","05 Oct 2016 13:35:00","http://n2t.net/ark:/65665/30ed68ec1-2318-4965-91ba-70458b1fa29b"
"USNM 1139172","Specimen/Lot","Acropora cerealis (Dana, 1846)","Acroporidae","Cnidaria","Anthozoa","Scleractinia","Cairns, Stephen D., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","2015","Acropora cerealis (Dana, 1846) : Acroporidae : Scleractinia : Anthozoa : Cnidaria","Acropora tizardi (Brook, 1892)","","","","Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Acroporidae","Corals","",1,"","","","Mearns, E. A.","Aug 1906","","North Pacific Ocean","","","Philippines","Zamboanga del Sur","","","Mindanao Island, Santa Cruz Island, Off Zamboanga",6.9,122.07,"","","","","","","","","","","","","","046501","","","","","","","","29 Mar 2017 16:40:00","http://n2t.net/ark:/65665/32d9ab6a6-0f4a-4f40-9299-caee45dc0348"
"USNM 1137637","Specimen/Lot","Acropora secale (Studer, 1878)","Acroporidae","Cnidaria","Anthozoa","Scleractinia","Cairns, Stephen D., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","2015","Acropora secale (Studer, 1878) : Acroporidae : Scleractinia : Anthozoa : Cnidaria","Acropora quelchi (Brook, 1893)","","","","Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Acroporidae","Corals","",1,"","","","Mearns, E. A.","Aug 1906","","North Pacific Ocean","","","Philippines","Zamboanga del Sur","","","Mindanao Island, Santa Cruz Island, Off Zamboanga",6.9,122.07,"","","","","","","","","","","","","","","","","","","","","","29 Mar 2017 16:40:00","http://n2t.net/ark:/65665/3fc8565ae-013c-47fb-b4be-f22d6dc1376e"
"USNM 1139173","Specimen/Lot","Acropora sp.","Acroporidae","Cnidaria","Anthozoa","Scleractinia","","","Acropora sp. : Acroporidae : Scleractinia : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Acroporidae","Corals","",1,"","","","Mearns, E. A.","Aug 1906","","North Pacific Ocean","","","Philippines","Zamboanga del Sur","","","Mindanao Island, Santa Cruz Island, Off Zamboanga",6.9,122.07,"","","","","","","","","","","","","","046501","","","","","","","","29 Mar 2017 16:40:00","http://n2t.net/ark:/65665/33499d87a-f140-4ae5-a587-6cfaacd8aa55"
"USNM 38149","Specimen/Lot","Acropora sp.","Acroporidae","Cnidaria","Anthozoa","Scleractinia","","","Acropora sp. : Acroporidae : Scleractinia : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Acroporidae","Corals","",2,"","","","Mearns, E. A.","","","North Pacific Ocean","","","Philippines","","","","","","","","","","","","","","","","","","","","042453","","","","","","","","29 Mar 2017 16:47:00","http://n2t.net/ark:/65665/38a5d2842-433e-4f08-bec1-01ed5dde9f1b"
