Museum,Museum Abbreviation,Catalog Number,Special Collections,Kind of Object,Specimen Count,Current Identification,Other Identifications,Name Hierarchy,Order,Family,Type Status,Type Citations,Date Collected,Ocean,Sea/Gulf,Bay/Sound,Island Name,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Collector(s),Other Numbers (Type: Value),Sex/Stage,Preparation Details (Preparation:Remarks),Microhabitat Description,Reproductive Condition,Progeny Details,Measurements,Stomach Contents,Collection Method,Number of Individuals,Sexual Maturity,Physical Maturity,Specimen Condition,Injury,Parasite,Bibliography,Notes,Genetic Sample Type,Biorepository Number,Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Depleted?,Record Last Modified,EZID
,"USNM","125311","","Specimen/Lot",1,"Acerodon jubatus","","Acerodon jubatus : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga, Off S Coast Of Mindanao","","","","Mearns, E. A.","Mammals Field Number: 5779","Female","Fluid; Anatomical:Brain","Ecological remarks by collector(s): no",,"1 embryo","Specimen Weight:  (No); Unknown Length:  (Measurements taken: no)","","","","","","","","",,"","","","","","","","","22 Aug 2014 14:05:00","http://n2t.net/ark:/65665/33b285039-4b96-4e8c-bca7-b9c3d03d5504"
,"USNM","144956","","Specimen/Lot",1,"Acerodon jubatus jubatus","","Acerodon jubatus jubatus : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","May 1906","","","","Mindoro","Philippines","","","Bulacao","","","","Mearns, E. A.","Mammals Field Number: No Number","Female","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:41:00","http://n2t.net/ark:/65665/38c4596dd-f6cd-42eb-8f57-0b3a287034e7"
,"USNM","144954","","Specimen/Lot",1,"Acerodon jubatus jubatus","","Acerodon jubatus jubatus : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","31 Jan 1906","","","","Mindoro","Philippines","","","Bulacao","","","","Mearns, E. A.","Mammals Field Number: No Number","Female","Skin:skull in skin","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:41:00","http://n2t.net/ark:/65665/361b17d8e-3677-4b21-a794-d45ce7496cb2"
,"USNM","144955","","Specimen/Lot",1,"Acerodon jubatus jubatus","","Acerodon jubatus jubatus : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","31 Jan 1906","","","","Mindoro","Philippines","","","Bulacao","","","","Mearns, E. A.","Mammals Field Number: No Number","Male","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:41:00","http://n2t.net/ark:/65665/3f53110b9-8970-4092-9f8e-80c92efa3c0e"
,"USNM","125294","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Male","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/383ddf435-9037-46b4-a83a-30eef3a44b47"
,"USNM","125299","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Female","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/37f192610-7daa-44cf-abb4-b11e970ecbd5"
,"USNM","125295","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Female","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/3fb09c7f7-e446-4339-b875-b4604700b8f2"
,"USNM","125298","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Male","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/30d777af2-0e27-4052-80d4-c44be5e983b6"
,"USNM","125301","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Female","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/36ce7546e-dbb7-4510-ae2c-caeae6d1f4ac"
,"USNM","125302","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Male","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/3c9590bc9-adde-4dd5-8109-4321dcac988d"
,"USNM","125304","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Male","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/3816406fc-196f-44d2-80fe-666561f2ca85"
,"USNM","125293","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Male","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/32a25f0c0-a137-457c-950e-502ab6395ec7"
,"USNM","125297","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Female","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/311c72932-ae6a-49c8-91cf-73ba19176710"
,"USNM","125303","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Male","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/3bb1d69ac-4fb0-4bb4-a257-5c3bb01a42f6"
,"USNM","125296","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Female","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/34062aea0-fc58-4399-85a6-cfbb8e34a2b6"
,"USNM","125300","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","1 Feb 1904","","","","Mindanao","Philippines","","","Banga","","","","Mearns, E. A.","Mammals Field Number: No Number","Female","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:39:00","http://n2t.net/ark:/65665/3355ce929-6cbb-4e8c-be0a-4d3eb7e5b6b6"
,"USNM","144775","","Specimen/Lot",1,"Acerodon jubatus mindanensis","","Acerodon jubatus mindanensis : Pteropodidae : Chiroptera : Mammalia : Chordata","Chiroptera","Pteropodidae","","","2 Apr 1906","","","","Mindanao","Philippines","","","Cabo Island, Igat Bay","","","","Mearns, E. A.","Mammals Field Number: 6065","Male","Skin; Skull","",,,,"","","","","","","","",,"","","","","","","","","20 Aug 2014 18:41:00","http://n2t.net/ark:/65665/3ec8af95a-d54d-4c6c-9a89-c8aaa6708550"
